reframed_text	strategy
Putting in a lot of effort right now and I know that this will pay off later down the track.	neutralizing
Putting in a lot of effort right now and I know that this will pay off later down the track.	optimism
I wil take a break from my circle to come back stronger!	optimism
Although I love travelling, there is no place like home.	optimism
Although I love travelling, there is no place like home.	thankfulness
I am up early on Saturday because I thought it was Friday now I can get some things done.	optimism
I have serious problems with addictions like alcoholism and smoking, I need to stop that.	growth
I have serious problems with addictions like alcoholism and smoking, I need to stop that.	self_affirmation
Nick may be in trouble, but I'm optimistic he'll come through.	optimism
I missed Zumba class, be but I will make it next time.	optimism
I will make my computer to work.	growth
I have taken care of our food needs for the next few days so that I have more time to focus on other things.	growth
I have taken care of our food needs for the next few days so that I have more time to focus on other things.	optimism
I will relax in the fields on Friday!! It's what I deserve after all that's happened lately!	neutralizing
I have to ready for the exam I have to do it good.	neutralizing
Just one more week to go for my finals. Thereafter, I can go on a vacation or simply chill at home.	impermanence
I am hoping to get a new job to get out of the emotional abuse.	neutralizing
I am hoping to get a new job to get out of the emotional abuse.	optimism
I'm thankful that my boobs are here to feed my child even if they make nowhere near what he need to eat	thankfulness
I just have to buckle down and study hard, and I'm sure I'll do well.	growth
I just have to buckle down and study hard, and I'm sure I'll do well.	optimism
I know I have a lot of responsibilities but it would be nice to just relax from them for a bit.	neutralizing
Just remember all of this conflict will make you a better person in the end who is able to deal with anything that comes your way.	growth
Putting in these long hours shows that I am determined, and will help me in the long run.	self_affirmation
If I don't have luck right now it means I will have more luck in the future.	optimism
I should learn to not stress out so much over graduation, work and final exams.	growth
I am sure everyone is struggling on this paper although it will be finished soon	impermanence
I am sure everyone is struggling on this paper although it will be finished soon	optimism
I'm thankful I have desserts in the house I can treat myself to.	optimism
I'm thankful I have desserts in the house I can treat myself to.	thankfulness
I slept too early, so now I won't sleep in time for tomorrow but I have learnt for the future.	growth
I slept too early, so now I won't sleep in time for tomorrow but I have learnt for the future.	optimism
I have to learn meditation to overcome my depression.	growth
Having a sore throat during finals is no fun, but at least the end of the semester is in sight!	impermanence
I will have an incredible day without any stress one day.	impermanence
Passport lost, passport found. Bag too heavy, moved shoes to hand luggage. Have to carry all my coats in my hands. But I am grateful I could make it to the airport inspite of the delay.	optimism
Passport lost, passport found. Bag too heavy, moved shoes to hand luggage. Have to carry all my coats in my hands. But I am grateful I could make it to the airport inspite of the delay.	thankfulness
I'm going to need a case or two of mikes hard strawberry lemonade to get me through the next 2 weeks. I'll have it, and I'm going to make it!	optimism
The internet is down but I know there will be another way to get the classes.	neutralizing
The internet is down but I know there will be another way to get the classes.	optimism
I'm going to think things through, so I don't end up with people I know are trouble.	growth
Working all the weekend for the exams is somewhat difficult but theforthcoming Christmas events bring joy to my heart.	neutralizing
Working all the weekend for the exams is somewhat difficult but theforthcoming Christmas events bring joy to my heart.	optimism
Minor complications, but I know everything will work out the way they are supposed too.	neutralizing
Everything will work out eventually, and I will see the end of the tunnel.	neutralizing
I should have looked at my suitcase, I will do it next time.	impermanence
I don't have time for my for the next few months but after that I will.	optimism
Sometimes I get overly excited about things, and it can lead to disappintment, this doesn't stop me from being a passionate person though	neutralizing
Sometimes I get overly excited about things, and it can lead to disappintment, this doesn't stop me from being a passionate person though	self_affirmation
Stressed with finishing my projects and graduation stuff but if I work efficiently then in one day it will all be done and I can relax !	growth
Stressed with finishing my projects and graduation stuff but if I work efficiently then in one day it will all be done and I can relax !	impermanence
When my friends don't text me back it's an opportunity to do something useful	growth
When my friends don't text me back it's an opportunity to do something useful	neutralizing
I have to finish my work after that I can take rest without guilty feeling.	impermanence
Even though the finals make me stressed at least soon I will be over with those and will have a break.	optimism
Public transport is a nightmare but I am proud of myself for sticking with it.	neutralizing
Public transport is a nightmare but I am proud of myself for sticking with it.	self_affirmation
It's 2am, and I'm listening to music in the dark, feeling a bit down	neutralizing
I have to pray long enough otherwise I lost my points. I have to prepare myself in a good way.	growth
Let's talk about this challenging move to another city my job is doing in less than two weeks!	growth
Let's talk about this challenging move to another city my job is doing in less than two weeks!	optimism
I will pay anyone in chicken nuggets, if they do all of my schoolwork	neutralizing
I will restock my kitchen with more chocolate, that way I can focus and lessen my cravings!	growth
I will restock my kitchen with more chocolate, that way I can focus and lessen my cravings!	impermanence
I will restock my kitchen with more chocolate, that way I can focus and lessen my cravings!	neutralizing
I hope I get a good night's sleep so that my head is cleared so that I can start afresh tomorrow.	impermanence
I hope I get a good night's sleep so that my head is cleared so that I can start afresh tomorrow.	optimism
I guess I can see the funny side in you playing Love rears it’s ugly head to me.	impermanence
I guess I can see the funny side in you playing Love rears it’s ugly head to me.	neutralizing
It's been a pretty bad day, but hopefully things will be better tomorrow.	impermanence
Today's just oneof those days where I feel bad soon it get better.	self_affirmation
Today's just oneof those days where I feel bad soon it get better.	thankfulness
I have to write a big paper but I will be able to do it since I am a smart person.	self_affirmation
My nerves get through me, and when that happens, it makes me feel alive and like a person.	optimism
My nerves get through me, and when that happens, it makes me feel alive and like a person.	self_affirmation
My nerves get through me, and when that happens, it makes me feel alive and like a person.	thankfulness
Big changes in my life are making me nervous, but I know that it's big changes that makes us grow.	growth
Big changes in my life are making me nervous, but I know that it's big changes that makes us grow.	neutralizing
I love to go to the gym or take a walk with friends, after a long week at work.	optimism
You have to be strong and face this moment in life, I can't let it get out of hand and put me down.	growth
I've learned from my mistakes and next time I'll pay more attention to what I write	growth
I hope I get a good night's sleep tonight after the tiring day I have had.	impermanence
I hope I get a good night's sleep tonight after the tiring day I have had.	optimism
I will find a place to stay eventually, I just need to keep looking!	neutralizing
I will find a place to stay eventually, I just need to keep looking!	optimism
I would love to be done building this bed so that I can enjoy a good night's sleep.	impermanence
I would love to be done building this bed so that I can enjoy a good night's sleep.	optimism
Since good things in life take time and I am a patient person, it means I will be experiencing the good things when they come.	self_affirmation
I want to talk to him about something, but I don't want to start an argument. So, I'll talk very kindly, and I'm sure it will be okay.	optimism
I don’t like summers and, I am waiting for it to end. Hope everyone else is having a great day.	impermanence
I don’t like summers and, I am waiting for it to end. Hope everyone else is having a great day.	neutralizing
life is stressful but is worth living at his fullest.	neutralizing
life is stressful but is worth living at his fullest.	optimism
My grades don’t seem to go up inspite of my hard work but this experience has taught me a lesson.	growth
My grades don’t seem to go up inspite of my hard work but this experience has taught me a lesson.	optimism
I will be more careful with what I drink in the future!	growth
I will be more careful with what I drink in the future!	neutralizing
I'm overworked, but I know I can make things right if I pull through.	optimism
I'm overworked, but I know I can make things right if I pull through.	self_affirmation
I know I can make it through today and make it a miracle.	neutralizing
I know I can make it through today and make it a miracle.	optimism
Feeling overloaded right now with what I need to get done, but I know in a week things will all be fine.	impermanence
I'm moving the rest of my things to Milwaukee. I'm sure everything will go smooth!	growth
I'm moving the rest of my things to Milwaukee. I'm sure everything will go smooth!	impermanence
I'm moving the rest of my things to Milwaukee. I'm sure everything will go smooth!	optimism
The USPS could really improve its attention with the packages it delivers.	neutralizing
It might be hard, but im going to get through it!	impermanence
Need a break from golf. What else to do...	growth
Need a break from golf. What else to do...	neutralizing
My day could have gone better in the doctor’s office	neutralizing
I should be happy about it but I'm not. But that's not my choice, and it's okay, there are other things that can make me happy.	optimism
I'm confused - I don't know whether to read all the Scandal tweets or wait until I can watch later! I'm excited either way.	optimism
I have a bad car now but soon I will be able to get a new one.	impermanence
Moving a house is something that I don’t like, but the thought of a new house excites me.	neutralizing
Moving a house is something that I don’t like, but the thought of a new house excites me.	optimism
I have to cut back on my Words With Friends games for now, so I can get my schoolwork done.	growth
I have to cut back on my Words With Friends games for now, so I can get my schoolwork done.	impermanence
It's during these unsettling times matters in life	neutralizing
It's during these unsettling times matters in life	thankfulness
I never find time to relax and watch a movie, but today I am going to make sure that I do.	growth
I will try to schedule my classes soon.	growth
I didn’t have time for revision because I was working but at least I know for next time to prioritise revision over my job.	growth
I didn’t have time for revision because I was working but at least I know for next time to prioritise revision over my job.	neutralizing
I didn’t have time for revision because I was working but at least I know for next time to prioritise revision over my job.	optimism
There's no point in letting other people ruin your day, drivers can be difficult to deal with but everything is momentary.	impermanence
I'll do anything to help my son succeed and live his best life.	neutralizing
I'm getting a little demotivated for school, but break is coming up soon.	impermanence
I'm pretty sure that everything bad will pass, and I will be back on track in no time.	impermanence
I'm pretty sure that everything bad will pass, and I will be back on track in no time.	optimism
I will start to exercise more just so I can get this stress out of my body!	growth
I will start to exercise more just so I can get this stress out of my body!	optimism
My phone is not working properly because it is unfollowing people that I follow.	neutralizing
Going fishing on a boat with some cold beer would chill me out.	growth
I am thankful that at least I have my faith and chocolate to get through this week.	thankfulness
Just a few more days of finals and then I can rest	impermanence
Despite the news that almost made me cry that the race is going to be tomorrow and not next week, I need to prepare myself in the little time I have and not be sorry.	growth
Despite the news that almost made me cry that the race is going to be tomorrow and not next week, I need to prepare myself in the little time I have and not be sorry.	optimism
I hope people understand and don’t pressurize us and make life hard.	optimism
I hope people understand and don’t pressurize us and make life hard.	thankfulness
Thank you lord for allowing me to acknowledge the futility of these useless arguments	neutralizing
This next five days are going to be challenging, I'm sure I will get through them though	impermanence
Having some trouble with yahoo emails but I'm sure they'll sort it out soon.	neutralizing
Having some trouble with yahoo emails but I'm sure they'll sort it out soon.	optimism
The last few days before spring break are not quite good. I hope I can handle the situation well.	neutralizing
The last few days before spring break are not quite good. I hope I can handle the situation well.	optimism
Back to work can be difficult but never impossible	neutralizing
Customer service wasn't was bad, hopefully the next employee i'll talk to will be better.	impermanence
At least I get to make a meal, there are people out there who don't get to have food at all.	thankfulness
The time period before vacation is stressful but I love vacation so it’s well worth it.	growth
The time period before vacation is stressful but I love vacation so it’s well worth it.	neutralizing
The time period before vacation is stressful but I love vacation so it’s well worth it.	optimism
Tomorrow is a new day, soon this will, end and I will have no more worries.	optimism
I have been so productive lately that I forgot my birthday, no problem, my family and friends are there to remind me!	growth
I have been so productive lately that I forgot my birthday, no problem, my family and friends are there to remind me!	self_affirmation
I have been so productive lately that I forgot my birthday, no problem, my family and friends are there to remind me!	thankfulness
Paying for my daughter's college is a difficult task, but I'm grateful to have a daughter who wants to study	thankfulness
I know that tomorrow this anger I'm feeling will pass, for now I'll keep my mouth shut	impermanence
I hope I am not late for work again.	neutralizing
I hope I am not late for work again.	optimism
Selfcare is a must and should form a part of one's routine to stay calm, happy and energetic always.	neutralizing
Even though these next few weeks will be hard, I know I have the power to handle all of it.	growth
Even though these next few weeks will be hard, I know I have the power to handle all of it.	optimism
I'm thankful that the end is near and that I have worked so hard to accomplish my goals.	growth
I'm thankful that the end is near and that I have worked so hard to accomplish my goals.	optimism
I'm thankful that the end is near and that I have worked so hard to accomplish my goals.	thankfulness
I'm tired, and I have to work until August, but it will be here fast, and then I can relax and take some time off.	optimism
I know I’m alive, and I have feelings if as I watch the end of Fever Pitch I can feel touched emotionally.	self_affirmation
When I feel stressed at least I have the ebooks which help me get through hard times.	optimism
When you are not sure about something, trust your instinct and take your time to make a decision, everything will be fine.	impermanence
When you are not sure about something, trust your instinct and take your time to make a decision, everything will be fine.	optimism
There's something wrong every day and creating stress for the last 6 days, but I'll grow through it to make things and days better.	growth
It does hurt a bit, but I hope you can understand.	neutralizing
It does hurt a bit, but I hope you can understand.	optimism
Every bad thing will pass and good this will come in their place!	impermanence
Every bad thing will pass and good this will come in their place!	optimism
I am feeling stressed, but I know the stress will be over in a few days when I leave for Spring Break. I know I can handle it!	impermanence
I am feeling stressed, but I know the stress will be over in a few days when I leave for Spring Break. I know I can handle it!	self_affirmation
As a lot of things have gone wrong today, I'm going to ask someone for help.	neutralizing
I'm sure that after I take this pill, my headache will disappear, and I will feel better.	impermanence
I'm sure that after I take this pill, my headache will disappear, and I will feel better.	optimism
Sometimes I just need to work on my problems to solve them instead of complaining about them and waiting for someone to solve them.	growth
Sometimes I just need to work on my problems to solve them instead of complaining about them and waiting for someone to solve them.	self_affirmation
There are a lot of heavy things going on in my life I'm grateful to have a support system to get through everything.	thankfulness
There aren't many days left until I'm finally done with the school year.	impermanence
The piano turner is here, I hope she likes the coffee I made for her	optimism
Somebody broke into a car and stole a car charger, but thank God they didn't steal the car too.	thankfulness
Even though I'm having a bad day, I'm just lucky to be alive.	optimism
Even though I'm having a bad day, I'm just lucky to be alive.	thankfulness
I'm very thankful to everyone who are picking me up, while I'm going through a hard time. I appreciate it, and I'm confident I'll be better soon!	optimism
I'm very thankful to everyone who are picking me up, while I'm going through a hard time. I appreciate it, and I'm confident I'll be better soon!	thankfulness
I need to keep in mind it's only four more days of intense studying, assignments and little sleep, then I can relax and feel like I did well.	impermanence
I need to keep in mind it's only four more days of intense studying, assignments and little sleep, then I can relax and feel like I did well.	optimism
I need to keep in mind it's only four more days of intense studying, assignments and little sleep, then I can relax and feel like I did well.	self_affirmation
These exams are making me frustrated, but I know that they are important for my education and my future	growth
These exams are making me frustrated, but I know that they are important for my education and my future	optimism
Going back to school again means that I will have more knowledge and I will be smarter.	growth
I hope no teacher assigns a project this week, due on the last day of midterms as it is a bit irritating.	neutralizing
I hope no teacher assigns a project this week, due on the last day of midterms as it is a bit irritating.	optimism
I have done well on every math test this semester. The final review packet is challenging, but I will use this packet as an opportunity to improve my math skills.	growth
Cheated on my diet today but theres always tomorow.	neutralizing
Cheated on my diet today but theres always tomorow.	optimism
Cheated on my diet today but theres always tomorow.	thankfulness
I may have a twitching problem with my eye, but that was a genuine wink because I like you.	optimism
You are welcome to tell me if you like me as I also seem to like you.	neutralizing
You are welcome to tell me if you like me as I also seem to like you.	optimism
My week wasn't the best, things went wrong. But I'm sure next week will be better!	optimism
I can’t see into the future and that’s hard I just can try my best in the present.	neutralizing
I can’t see into the future and that’s hard I just can try my best in the present.	optimism
I'm feeling bad this morning. Hopefully I feel better tomorrow.	impermanence
I'm feeling bad this morning. Hopefully I feel better tomorrow.	neutralizing
I don't know what to ask the boss at my job, but if I bring storm enough I will figure it out.	neutralizing
I don't know what to ask the boss at my job, but if I bring storm enough I will figure it out.	optimism
People sometimes forget things when they are worried and that is normal.	impermanence
I hope I get a good night's sleep tonight.	impermanence
I hope I get a good night's sleep tonight.	optimism
I don't feel like celebrating this year but I will buy presents anyways because I am thankful for the people in my life.	neutralizing
I don't feel like celebrating this year but I will buy presents anyways because I am thankful for the people in my life.	thankfulness
Solving polynomials and inequalities and still trying to remember other facts	growth
I am looking forward to basketball to divert myself. That would lift my spirits up.	neutralizing
I am looking forward to basketball to divert myself. That would lift my spirits up.	optimism
I think im going to avoid spending time with people that put me down	growth
I'm tired trying to juggle life's responsibilities, but once everything is clear things will get better	impermanence
I'm tired trying to juggle life's responsibilities, but once everything is clear things will get better	optimism
Underwear and shoe shopping are boring for me, but I am glad to be out in the sun.	neutralizing
Underwear and shoe shopping are boring for me, but I am glad to be out in the sun.	optimism
I need to take rest to concentrate on tomorrow's work.	growth
He broke a promise to do something. Maybe, he had some problems I have to ask him	growth
Even though my hard work didn't pay off, I'm happy that I put in the effort because it shows what a diligent worker I am.	self_affirmation
I am bidding goodbye to summer and starting to work 24/7. I hope my friends don’t think I am neglecting them.	neutralizing
I am bidding goodbye to summer and starting to work 24/7. I hope my friends don’t think I am neglecting them.	optimism
Everyone goes through tricky experiences in life, I just need to push past them and come out stronger.	impermanence
Everyone goes through tricky experiences in life, I just need to push past them and come out stronger.	neutralizing
Everyone goes through tricky experiences in life, I just need to push past them and come out stronger.	optimism
People can be really mean but at least you know who not to keep in your life.	growth
People can be really mean but at least you know who not to keep in your life.	optimism
I hope my girlfriend's mood improves so that she does not make me feel bad.	impermanence
I hope my girlfriend's mood improves so that she does not make me feel bad.	optimism
I hope work will end today and my boss doesn’t shorten my vacation. I would be glad to get drunk, see Sara and play COD.	optimism
I hope I get into a better frame of mind so that I can have some peace of mind soon.	impermanence
I know Physical Chemistry is hard to me, But I hope I will learn it soon.	growth
I cry and get sick when I am stressed. Time to learn healthier ways to cope with stress.	growth
When I feel overwhelmed, I tend to isolate myself. It would like to try to reach out to others more often for help.	growth
I must try to control anger in all situations.	optimism
I must try to control anger in all situations.	thankfulness
I had a bad day today where everything’s gotten on top of eachother but it’ll be okay in the end.	neutralizing
I had a bad day today where everything’s gotten on top of eachother but it’ll be okay in the end.	optimism
Denielle James doesn't have a clue of her personal contributions as a Civil Engineer	neutralizing
Today has been a slightly bad one, and it would be better if I vent out my anger ASAP. But anyway I am glad we are recording today.	neutralizing
I forgot my school work and left my keys in the car. I'd better get more sleep.	growth
Can't wait to be going home tomorrow I have had a tough time with the kids but I can relax now.	optimism
Can't wait to be going home tomorrow I have had a tough time with the kids but I can relax now.	thankfulness
When the chores come to me for the same week, it gives me time to prove to myself that I can handle all of them.	growth
When the chores come to me for the same week, it gives me time to prove to myself that I can handle all of them.	optimism
When the chores come to me for the same week, it gives me time to prove to myself that I can handle all of them.	self_affirmation
I don’t have notes on the civil war that I need for my project, but I hope to get it from my friend soon.	neutralizing
I don’t have notes on the civil war that I need for my project, but I hope to get it from my friend soon.	optimism
Eating a slightly out of date ready meal but it’s better than having to buy a new meal.	neutralizing
Eating a slightly out of date ready meal but it’s better than having to buy a new meal.	optimism
I'm confused, I feel like there are things that would improve my mood like a drink, a hug, more sleeping time, or all of that.	impermanence
I'm confused, I feel like there are things that would improve my mood like a drink, a hug, more sleeping time, or all of that.	neutralizing
I don't like the problems with the printer, but at least I have one.	neutralizing
I don't like the problems with the printer, but at least I have one.	optimism
I don't like the problems with the printer, but at least I have one.	thankfulness
When I'm stressed, I just need to stay calm and rest to get my mood back	neutralizing
When I'm stressed, I just need to stay calm and rest to get my mood back	optimism
"Y'all already submitting your nfotd2014. I'm not ready, but I will do it by watching Boyhood, BTL and Babadook. ('""B's"")."	growth
Grateful my mom can cheer me up	neutralizing
Grateful my mom can cheer me up	thankfulness
People keep calling me JordOn and it is so funny.	neutralizing
People keep calling me JordOn and it is so funny.	optimism
I hope the rest of the day turns out better than this morning.	optimism
Working through her feelings after getting her shots will help our emotional relationship grow.	growth
Although it's been hard at the moment, when it's summer season, I'll enjoy alot	impermanence
The strike at PE college stressing me out. I didn't even get the bursary yet, I think I have to find other ways.	growth
Worried about my mom. Wish the doctors can find out what's wrong. But I'm positive she'll get better soon.	impermanence
Worried about my mom. Wish the doctors can find out what's wrong. But I'm positive she'll get better soon.	optimism
Worried about my mom. Wish the doctors can find out what's wrong. But I'm positive she'll get better soon.	self_affirmation
I have a headache from not sleeping very much last night, but thankful he slept well and is ready for the race.	thankfulness
Things will get better, they always do.	neutralizing
Things will get better, they always do.	optimism
The difficult moments only give me the breath to grow as a person and do not depend on anyone.	growth
The difficult moments only give me the breath to grow as a person and do not depend on anyone.	neutralizing
Growing up and graduating from school is something that makes me nostalgic but makes me happy.	optimism
Growing up and graduating from school is something that makes me nostalgic but makes me happy.	self_affirmation
Growing up and graduating from school is something that makes me nostalgic but makes me happy.	thankfulness
Try to identify those things that tend to take away your positive mindset and make efforts to avoid dwelling on them.	neutralizing
I have a lot of work to do in the next couple of days, but it won't last forever.	impermanence
I have a lot of work to do in the next couple of days, but it won't last forever.	neutralizing
I should put it off until the test.	neutralizing
I'm close to graduation, and I'm confused about what I'm doing with my life, but I'm sure I'll figure it out.	optimism
I am excited about tomorrow as Monday's over.	optimism
Flat tire on my way to work. Hope the rest of my day goes well.	impermanence
Dermot made some interesting choices on roof color that shows where he might be from.	neutralizing
Brucie is so cute, but not when he's pooing all over. Even though, I'm happy to have him!	thankfulness
I wish I was home but everything I can do is accept the reality.	neutralizing
I hope my family members change for the better and get along well with me.	neutralizing
I hope my family members change for the better and get along well with me.	optimism
It's finals week and I started crying when my dad asked me about napkins, need to control my emotions and focus that energy into studying.	impermanence
My coworkers could need some more training.	neutralizing
Time for bed exam tomorrow, interview Tuesday, exam Wednesday and exam Friday. Can't wait for this week to be over, so I can get some well deserved rest.	impermanence
Time for bed exam tomorrow, interview Tuesday, exam Wednesday and exam Friday. Can't wait for this week to be over, so I can get some well deserved rest.	optimism
I always worry about people, but that shows that I care.	impermanence
I always worry about people, but that shows that I care.	optimism
I hope people come to realize that it is my caring nature that causes me to worry and not because I am mad.	growth
Some kids were saying the bio test was hard, but I studied last night, so I am prepared	optimism
At least we like to stay busy in my family!	optimism
Time to learn how to manage my schedule better, so I don't miss out on anything.	growth
I know that apologizing won't solve my wrongs but It is a great start to self-improvement.	growth
I know that apologizing won't solve my wrongs but It is a great start to self-improvement.	impermanence
I'm so frustrated today shout out to the man	neutralizing
I'm so frustrated today shout out to the man	thankfulness
I hope I get more experience on the job in my initial days as the 4 hours of training are not really enough.	growth
I hope I get more experience on the job in my initial days as the 4 hours of training are not really enough.	optimism
Even though I want to lash out, I'm confident I can remain cool and calm.	growth
Even though I want to lash out, I'm confident I can remain cool and calm.	neutralizing
Even though I want to lash out, I'm confident I can remain cool and calm.	optimism
It's 9:00 a.m. and I have a lot of time to make the day better.	impermanence
It's 9:00 a.m. and I have a lot of time to make the day better.	neutralizing
It's 9:00 a.m. and I have a lot of time to make the day better.	optimism
Dance team workshop in the cold I have to prepare for that.	self_affirmation
Dance team workshop in the cold I have to prepare for that.	thankfulness
I need to work hard to make up for the lost school day	growth
I need to work hard to make up for the lost school day	impermanence
Gudmorning Everyone!!!! Even though my day gets worse every second, I hope you all have a great day and tomorrow will be better for me!	impermanence
I haven't fallen back asleep since taking my car in at 8, despite no classes all day. But at least I'm glad that my car got fixed.	neutralizing
I haven't fallen back asleep since taking my car in at 8, despite no classes all day. But at least I'm glad that my car got fixed.	thankfulness
It’s pretty amazing that teachers get perks, they do such a good job they deserve a massage.	optimism
I just need to stay calm to be able to find US somnies	growth
I just need to stay calm to be able to find US somnies	impermanence
I got a quarter of my chemistry paper wrong, but I did good on most of it so I don't think that's enough to fail.	optimism
I got a quarter of my chemistry paper wrong, but I did good on most of it so I don't think that's enough to fail.	self_affirmation
We are not all born learned so this week is teaching me how to understand the situations around me.	neutralizing
We are not all born learned so this week is teaching me how to understand the situations around me.	self_affirmation
I hope I have better luck tomorrow with my day compared to today.	impermanence
I will take a long shower and relax thereafter watching a movie. Guess that will get me all charged up:)	neutralizing
I hope the time in school gets better over the next few days.	impermanence
I hope the time in school gets better over the next few days.	optimism
It is great to have showings for the house I just need these pigs to behave!	optimism
I will try my payment again, and it has got to work this time!	optimism
Does anyone know a good seamstress? I'm trying to help my sister find a new one.	growth
Does anyone know a good seamstress? I'm trying to help my sister find a new one.	neutralizing
My child does not listen to me, but I know if I keep trying eventually she will get through to her.	optimism
I always surprise myself with my strange abilities to do things without being aware of it!!	neutralizing
I always surprise myself with my strange abilities to do things without being aware of it!!	optimism
I love having action packed days it's great to be always busy.	neutralizing
I love having action packed days it's great to be always busy.	thankfulness
We have to remember our olden day memories.	growth
We have to remember our olden day memories.	impermanence
Ready to know where I'm going to school. Admissions come at me	neutralizing
Ready to know where I'm going to school. Admissions come at me	optimism
Learn lines in a week, down payment for college in two weeks, speech next Saturday, work, homework, and keep a social life to ease the rigor of it all - at the end, I shall have completed my months' to-do.	growth
I cannot cop a break. I'm trying, but I feel I don't get anywhere. But I have to keep trying, because I'm not the kind of person who gives up.	growth
I cannot cop a break. I'm trying, but I feel I don't get anywhere. But I have to keep trying, because I'm not the kind of person who gives up.	self_affirmation
I hope my wife and mom reach the hospital in time for my surgery tomorrow.	optimism
It is difficult being given high standards as a child when you don't understand. But it is nice knowing you are the best.	neutralizing
It is difficult being given high standards as a child when you don't understand. But it is nice knowing you are the best.	optimism
I have been so busy lately but it feels good to have things to do.	optimism
How the internet would stop working when I'm on season 5, episode 14 of Breaking Bad is unnerving, but not to worry, I will get myself something else to do as I wait for it to return.	impermanence
Even though I had a hard day at work at least now it's over so I can take time to relax.	optimism
I keep myself busy with household chores to avoid overthinking and diverting myself to doing things that make me happy.	optimism
It feels like screwing up life to fail miserably, while trying to do better.  But will continue finding some way, anyway.	neutralizing
It feels like screwing up life to fail miserably, while trying to do better.  But will continue finding some way, anyway.	self_affirmation
I've learned my lesson on procrastination. I'm determined to not put things off next time.	growth
I'm so thankful that I have the ability to take a vacation into the woods.	thankfulness
This week started off wrong, but I know by the end of the week things will get better	optimism
Moving to Florida will be awesome having Carsyn by my side	optimism
I am going to sleep so well later on.	impermanence
Life is so busy with Christmas coming and the UK storm. It is an exciting time.	optimism
Feeling so stressed and lonely, but so grateful to have you to cuddle and make everything better.	thankfulness
Of course teenagers worry about schoolwork more than other issues of the school, but schoolwork is important so that's understandable.	neutralizing
My homework load is teaching me not to procrastinate. Every day is a new opportunity to get ahead	growth
I can't wait to have my wedding and marry my best friend!	neutralizing
I can't wait to have my wedding and marry my best friend!	optimism
I think I'm going to take a day off from packing today to get some other errands done.	neutralizing
Today is one of those days at work when I feel very tired. But also, I'm glad that I have a work.	neutralizing
Today is one of those days at work when I feel very tired. But also, I'm glad that I have a work.	thankfulness
You should escape from your problems with a travel!	optimism
If good things are hard to achieve, it's time to put in a little more effort, and then we'll start seeing them.	growth
I'm glad I'm going to have a ballet class tonight. Having class helps me to relax and forget the bad times.	optimism
I'm glad I'm going to have a ballet class tonight. Having class helps me to relax and forget the bad times.	self_affirmation
I'm going to court for some dumb things I did three years ago. I should just get probation, and I'm going to show that I've grown since then.	growth
I should develop a keen sense of interest in math. This would go a long way in helping me stay focussed on the subject.	growth
I should develop a keen sense of interest in math. This would go a long way in helping me stay focussed on the subject.	self_affirmation
My family are so supportive to do help in homework even my jaw hurts	growth
My family are so supportive to do help in homework even my jaw hurts	thankfulness
Getting ready to gear up for some big decisions	growth
Thinking about changing major. Scared but it'll be worth it	growth
Thinking about changing major. Scared but it'll be worth it	impermanence
Thinking about changing major. Scared but it'll be worth it	neutralizing
Thinking about changing major. Scared but it'll be worth it	optimism
Even if the community doesn‚Äôt support me with a project I love, my desire for it to be okay just gives me encouragement to finish it.	growth
Even if the community doesn‚Äôt support me with a project I love, my desire for it to be okay just gives me encouragement to finish it.	self_affirmation
I would prefer it if Colm did not participate.	neutralizing
Now that midterms are over I can relax and enjoy myself. I tried my best.	optimism
I don't have my accommodation figured out yet but I am grateful for the opportunity to be a student at DCU.	thankfulness
Slow traffic gives me more time to listen to the radio.	neutralizing
Slow traffic gives me more time to listen to the radio.	optimism
I hope Wednesday changes my mood and puts me in a better frame of mind.	impermanence
I hope Wednesday changes my mood and puts me in a better frame of mind.	optimism
My to-do list keeps growing but I know I can get everything done if I just focus.	growth
Getting a house or a new car could be a great experience for me.	optimism
I have a meeting with my supervisor to get better at minute taking.	growth
I am getting a little confused on my homework assignments, but I'll take a break, unwind, and approach the assignment with a new perspective and all will be well.	neutralizing
I have a smile on my face almost everyday even though facing struggles	optimism
Im having a really long day but I know that it will end soon and I can get on with my life.	neutralizing
Im having a really long day but I know that it will end soon and I can get on with my life.	optimism
God gives us only things we can handle at a time. God must think I am special	neutralizing
It really took a long time, it took more than 7 hours to get to Manchester.	neutralizing
Kinda miss the weekends when I didn't have any plans. So, I can enjoy the alone time.	growth
I love you, too! I should be done with studying after tonight!	neutralizing
I can't sleep because I lost my bus pass, but I'm going to keep looking because I'm not a quitter.	self_affirmation
It was just a bad day... not a bad life!	optimism
Sometimes one needs to accept that you'd better throw the towel. Don't be hard on yourself, some things aren't meant to be. When one door closes, another opens!	optimism
Sometimes one needs to accept that you'd better throw the towel. Don't be hard on yourself, some things aren't meant to be. When one door closes, another opens!	self_affirmation
I have been really stressed lately but I will feel better after I can relax	neutralizing
I have been really stressed lately but I will feel better after I can relax	optimism
I know the way I am feeling right now, I actually dont like to have this attitude of fuck everybody. But I am sure that is what I going to do, if I donot change my thinking.	neutralizing
I know the way I am feeling right now, I actually dont like to have this attitude of fuck everybody. But I am sure that is what I going to do, if I donot change my thinking.	self_affirmation
I am going to meet a doctor to get well soon.	growth
Feel like having a mental breakdown but I can pull myself up from feeling like this and be back at my peak.	neutralizing
